client_name,rig_name,job_date,job_time,Depth,ROP
SHL,SH2,2/1/2021,6:00:00,5000,500
SHL,SH2,2/1/2021,6:00:01,5001,501
SHL,SH2,2/1/2021,6:00:02,5002,502
SHL,SH2,2/1/2021,6:00:03,5003,503
SHL,SH2,2/1/2021,6:00:04,5004,504
SHL,SH2,2/1/2021,6:00:05,5005,505
SHL,SH2,2/1/2021,6:00:06,5006,506
SHL,SH2,2/1/2021,6:00:07,5007,507
SHL,SH2,2/1/2021,6:00:08,5008,508
SHL,SH2,2/1/2021,6:00:09,5009,509
SHL,SH2,2/1/2021,6:00:10,5010,510
SHL,SH2,2/1/2021,6:00:11,5011,511
SHL,SH2,2/1/2021,6:00:12,5012,512
SHL,SH2,2/1/2021,6:00:13,5013,513
SHL,SH2,2/1/2021,6:00:14,5014,514
SHL,SH2,2/1/2021,6:00:15,5015,515
SHL,SH2,2/1/2021,6:00:16,5016,516
SHL,SH2,2/1/2021,6:00:17,5017,517
SHL,SH2,2/1/2021,6:00:18,5018,518
SHL,SH2,2/1/2021,6:00:19,5019,519
SHL,SH2,2/1/2021,6:00:20,5020,520
SHL,SH2,2/1/2021,6:00:21,5021,521
SHL,SH2,2/1/2021,6:00:22,5022,522
SHL,SH2,2/1/2021,6:00:23,5023,523
SHL,SH2,2/1/2021,6:00:24,5024,524
SHL,SH2,2/1/2021,6:00:25,5025,525
SHL,SH2,2/1/2021,6:00:26,5026,526
SHL,SH2,2/1/2021,6:00:27,5027,527
SHL,SH2,2/1/2021,6:00:28,5028,528
SHL,SH2,2/1/2021,6:00:29,5029,529
SHL,SH2,2/1/2021,6:00:30,5030,530
SHL,SH2,2/1/2021,6:00:31,5031,531
SHL,SH2,2/1/2021,6:00:32,5032,532
SHL,SH2,2/1/2021,6:00:33,5033,533
SHL,SH2,2/1/2021,6:00:34,5034,534
SHL,SH2,2/1/2021,6:00:35,5035,535
SHL,SH2,2/1/2021,6:00:36,5036,536
SHL,SH2,2/1/2021,6:00:37,5037,537
SHL,SH2,2/1/2021,6:00:38,5038,538
SHL,SH2,2/1/2021,6:00:39,5039,539
SHL,SH2,2/1/2021,6:00:40,5040,540
SHL,SH2,2/1/2021,6:00:41,5041,541
SHL,SH2,2/1/2021,6:00:42,5042,542
SHL,SH2,2/1/2021,6:00:43,5043,543
SHL,SH2,2/1/2021,6:00:44,5044,544
SHL,SH2,2/1/2021,6:00:45,5045,545
SHL,SH2,2/1/2021,6:00:46,5046,546
SHL,SH2,2/1/2021,6:00:47,5047,547
SHL,SH2,2/1/2021,6:00:48,5048,548
SHL,SH2,2/1/2021,6:00:49,5049,549
SHL,SH2,2/1/2021,6:00:50,5050,550
SHL,SH2,2/1/2021,6:00:51,5051,551
SHL,SH2,2/1/2021,6:00:52,5052,552
SHL,SH2,2/1/2021,6:00:53,5053,553
SHL,SH2,2/1/2021,6:00:54,5054,554
SHL,SH2,2/1/2021,6:00:55,5055,555
SHL,SH2,2/1/2021,6:00:56,5056,556
SHL,SH2,2/1/2021,6:00:57,5057,557
SHL,SH2,2/1/2021,6:00:58,5058,558
SHL,SH2,2/1/2021,6:00:59,5059,559
SHL,SH2,2/1/2021,6:01:00,5060,560
SHL,SH2,2/1/2021,6:01:01,5061,561
SHL,SH2,2/1/2021,6:01:02,5062,562
SHL,SH2,2/1/2021,6:01:03,5063,563
SHL,SH2,2/1/2021,6:01:04,5064,564
SHL,SH2,2/1/2021,6:01:05,5065,565
SHL,SH2,2/1/2021,6:01:06,5066,566
SHL,SH2,2/1/2021,6:01:07,5067,567
SHL,SH2,2/1/2021,6:01:08,5068,568
SHL,SH2,2/1/2021,6:01:09,5069,569
SHL,SH2,2/1/2021,6:01:10,5070,570
SHL,SH2,2/1/2021,6:01:11,5071,571
SHL,SH2,2/1/2021,6:01:12,5072,572
SHL,SH2,2/1/2021,6:01:13,5073,573
SHL,SH2,2/1/2021,6:01:14,5074,574
SHL,SH2,2/1/2021,6:01:15,5075,575
SHL,SH2,2/1/2021,6:01:16,5076,576
SHL,SH2,2/1/2021,6:01:17,5077,577
SHL,SH2,2/1/2021,6:01:18,5078,578
SHL,SH2,2/1/2021,6:01:19,5079,579
SHL,SH2,2/1/2021,6:01:20,5080,580
SHL,SH2,2/1/2021,6:01:21,5081,581
SHL,SH2,2/1/2021,6:01:22,5082,582
SHL,SH2,2/1/2021,6:01:23,5083,583
SHL,SH2,2/1/2021,6:01:24,5084,584
SHL,SH2,2/1/2021,6:01:25,5085,585
SHL,SH2,2/1/2021,6:01:26,5086,586
SHL,SH2,2/1/2021,6:01:27,5087,587
SHL,SH2,2/1/2021,6:01:28,5088,588
SHL,SH2,2/1/2021,6:01:29,5089,589
SHL,SH2,2/1/2021,6:01:30,5090,590
SHL,SH2,2/1/2021,6:01:31,5091,591
SHL,SH2,2/1/2021,6:01:32,5092,592
SHL,SH2,2/1/2021,6:01:33,5093,593
SHL,SH2,2/1/2021,6:01:34,5094,594
SHL,SH2,2/1/2021,6:01:35,5095,595
SHL,SH2,2/1/2021,6:01:36,5096,596
SHL,SH2,2/1/2021,6:01:37,5097,597
SHL,SH2,2/1/2021,6:01:38,5098,598
SHL,SH2,2/1/2021,6:01:39,5099,599
SHL,SH2,2/1/2021,6:01:40,5100,600
SHL,SH2,2/1/2021,6:01:41,5101,601
SHL,SH2,2/1/2021,6:01:42,5102,602
SHL,SH2,2/1/2021,6:01:43,5103,603
SHL,SH2,2/1/2021,6:01:44,5104,604
SHL,SH2,2/1/2021,6:01:45,5105,605
SHL,SH2,2/1/2021,6:01:46,5106,606
SHL,SH2,2/1/2021,6:01:47,5107,607
SHL,SH2,2/1/2021,6:01:48,5108,608
SHL,SH2,2/1/2021,6:01:49,5109,609
SHL,SH2,2/1/2021,6:01:50,5110,610
SHL,SH2,2/1/2021,6:01:51,5111,611
SHL,SH2,2/1/2021,6:01:52,5112,612
SHL,SH2,2/1/2021,6:01:53,5113,613
SHL,SH2,2/1/2021,6:01:54,5114,614
SHL,SH2,2/1/2021,6:01:55,5115,615
SHL,SH2,2/1/2021,6:01:56,5116,616
SHL,SH2,2/1/2021,6:01:57,5117,617
SHL,SH2,2/1/2021,6:01:58,5118,618
SHL,SH2,2/1/2021,6:01:59,5119,619
SHL,SH2,2/1/2021,6:02:00,5120,620
SHL,SH2,2/1/2021,6:02:01,5121,621
SHL,SH2,2/1/2021,6:02:02,5122,622
SHL,SH2,2/1/2021,6:02:03,5123,623
SHL,SH2,2/1/2021,6:02:04,5124,624
SHL,SH2,2/1/2021,6:02:05,5125,625
SHL,SH2,2/1/2021,6:02:06,5126,626
SHL,SH2,2/1/2021,6:02:07,5127,627
SHL,SH2,2/1/2021,6:02:08,5128,628
SHL,SH2,2/1/2021,6:02:09,5129,629
SHL,SH2,2/1/2021,6:02:10,5130,630
SHL,SH2,2/1/2021,6:02:11,5131,631
SHL,SH2,2/1/2021,6:02:12,5132,632
SHL,SH2,2/1/2021,6:02:13,5133,633
SHL,SH2,2/1/2021,6:02:14,5134,634
SHL,SH2,2/1/2021,6:02:15,5135,635
SHL,SH2,2/1/2021,6:02:16,5136,636
SHL,SH2,2/1/2021,6:02:17,5137,637
SHL,SH2,2/1/2021,6:02:18,5138,638
SHL,SH2,2/1/2021,6:02:19,5139,639
SHL,SH2,2/1/2021,6:02:20,5140,640
SHL,SH2,2/1/2021,6:02:21,5141,641
SHL,SH2,2/1/2021,6:02:22,5142,642
SHL,SH2,2/1/2021,6:02:23,5143,643
SHL,SH2,2/1/2021,6:02:24,5144,644
SHL,SH2,2/1/2021,6:02:25,5145,645
SHL,SH2,2/1/2021,6:02:26,5146,646
SHL,SH2,2/1/2021,6:02:27,5147,647
SHL,SH2,2/1/2021,6:02:28,5148,648
SHL,SH2,2/1/2021,6:02:29,5149,649
SHL,SH2,2/1/2021,6:02:30,5150,650
SHL,SH2,2/1/2021,6:02:31,5151,651
SHL,SH2,2/1/2021,6:02:32,5152,652
SHL,SH2,2/1/2021,6:02:33,5153,653
SHL,SH2,2/1/2021,6:02:34,5154,654
SHL,SH2,2/1/2021,6:02:35,5155,655
SHL,SH2,2/1/2021,6:02:36,5156,656
SHL,SH2,2/1/2021,6:02:37,5157,657
SHL,SH2,2/1/2021,6:02:38,5158,658
SHL,SH2,2/1/2021,6:02:39,5159,659
SHL,SH2,2/1/2021,6:02:40,5160,660
SHL,SH2,2/1/2021,6:02:41,5161,661
SHL,SH2,2/1/2021,6:02:42,5162,662
SHL,SH2,2/1/2021,6:02:43,5163,663
SHL,SH2,2/1/2021,6:02:44,5164,664
SHL,SH2,2/1/2021,6:02:45,5165,665
SHL,SH2,2/1/2021,6:02:46,5166,666
SHL,SH2,2/1/2021,6:02:47,5167,667
SHL,SH2,2/1/2021,6:02:48,5168,668
SHL,SH2,2/1/2021,6:02:49,5169,669
SHL,SH2,2/1/2021,6:02:50,5170,670
SHL,SH2,2/1/2021,6:02:51,5171,671
SHL,SH2,2/1/2021,6:02:52,5172,672
SHL,SH2,2/1/2021,6:02:53,5173,673
SHL,SH2,2/1/2021,6:02:54,5174,674
SHL,SH2,2/1/2021,6:02:55,5175,675
SHL,SH2,2/1/2021,6:02:56,5176,676
SHL,SH2,2/1/2021,6:02:57,5177,677
SHL,SH2,2/1/2021,6:02:58,5178,678
SHL,SH2,2/1/2021,6:02:59,5179,679
SHL,SH2,2/1/2021,6:03:00,5180,680
SHL,SH2,2/1/2021,6:03:01,5181,681
SHL,SH2,2/1/2021,6:03:02,5182,682
SHL,SH2,2/1/2021,6:03:03,5183,683
SHL,SH2,2/1/2021,6:03:04,5184,684
SHL,SH2,2/1/2021,6:03:05,5185,685
SHL,SH2,2/1/2021,6:03:06,5186,686
SHL,SH2,2/1/2021,6:03:07,5187,687
SHL,SH2,2/1/2021,6:03:08,5188,688
SHL,SH2,2/1/2021,6:03:09,5189,689
SHL,SH2,2/1/2021,6:03:10,5190,690
SHL,SH2,2/1/2021,6:03:11,5191,691
SHL,SH2,2/1/2021,6:03:12,5192,692
SHL,SH2,2/1/2021,6:03:13,5193,693
SHL,SH2,2/1/2021,6:03:14,5194,694
